/home/zjc/miniconda3/envs/adacompress/lib/python3.12/site-packages/compressai/models/video/google.py:353: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  @amp.autocast(enabled=False)
/home/zjc/miniconda3/envs/adacompress/lib/python3.12/site-packages/timm/models/layers/__init__.py:48: FutureWarning: Importing from timm.models.layers is deprecated, please import via timm.layers
  warnings.warn(f"Importing from {__name__} is deprecated, please import via timm.layers", FutureWarning)
2026-02-13 01:53:59,808 [INFO ] [Train][E2][it 1400/3188][step 7777] RD 1.2079 | BPP 0.5357 | MSE 0.002067 | PSNR 27.15 | AUX 1094.44
2026-02-13 01:54:15,736 [INFO ] [Train][E2][it 1500/3188][step 7877] RD 1.2055 | BPP 0.5357 | MSE 0.002060 | PSNR 27.17 | AUX 1090.79
2026-02-13 01:54:31,704 [INFO ] [Train][E2][it 1600/3188][step 7977] RD 1.2033 | BPP 0.5350 | MSE 0.002056 | PSNR 27.18 | AUX 1088.25
2026-02-13 01:54:47,713 [INFO ] [Train][E2][it 1700/3188][step 8077] RD 1.2045 | BPP 0.5353 | MSE 0.002058 | PSNR 27.18 | AUX 1086.60
2026-02-13 01:55:03,706 [INFO ] [Train][E2][it 1800/3188][step 8177] RD 1.2034 | BPP 0.5348 | MSE 0.002057 | PSNR 27.18 | AUX 1085.69
2026-02-13 01:55:19,726 [INFO ] [Train][E2][it 1900/3188][step 8277] RD 1.1985 | BPP 0.5340 | MSE 0.002044 | PSNR 27.21 | AUX 1085.39
2026-02-13 01:55:35,695 [INFO ] [Train][E2][it 2000/3188][step 8377] RD 1.1940 | BPP 0.5332 | MSE 0.002032 | PSNR 27.23 | AUX 1085.70
2026-02-13 01:55:51,677 [INFO ] [Train][E2][it 2100/3188][step 8477] RD 1.1930 | BPP 0.5326 | MSE 0.002031 | PSNR 27.23 | AUX 1086.41
2026-02-13 01:56:07,634 [INFO ] [Train][E2][it 2200/3188][step 8577] RD 1.1909 | BPP 0.5322 | MSE 0.002026 | PSNR 27.24 | AUX 1087.64
2026-02-13 01:56:23,574 [INFO ] [Train][E2][it 2300/3188][step 8677] RD 1.1875 | BPP 0.5314 | MSE 0.002018 | PSNR 27.26 | AUX 1089.30
2026-02-13 01:56:39,557 [INFO ] [Train][E2][it 2400/3188][step 8777] RD 1.1848 | BPP 0.5305 | MSE 0.002012 | PSNR 27.27 | AUX 1091.34
2026-02-13 01:56:55,565 [INFO ] [Train][E2][it 2500/3188][step 8877] RD 1.1816 | BPP 0.5299 | MSE 0.002004 | PSNR 27.29 | AUX 1093.68
2026-02-13 01:57:11,482 [INFO ] [Train][E2][it 2600/3188][step 8977] RD 1.1781 | BPP 0.5292 | MSE 0.001996 | PSNR 27.31 | AUX 1096.27
2026-02-13 01:57:27,609 [INFO ] [Train][E2][it 2700/3188][step 9077] RD 1.1791 | BPP 0.5291 | MSE 0.001999 | PSNR 27.30 | AUX 1099.15
2026-02-13 01:57:43,675 [INFO ] [Train][E2][it 2800/3188][step 9177] RD 1.1796 | BPP 0.5291 | MSE 0.002001 | PSNR 27.30 | AUX 1102.21
2026-02-13 01:57:59,626 [INFO ] [Train][E2][it 2900/3188][step 9277] RD 1.1770 | BPP 0.5288 | MSE 0.001994 | PSNR 27.31 | AUX 1105.46
2026-02-13 01:58:15,625 [INFO ] [Train][E2][it 3000/3188][step 9377] RD 1.1735 | BPP 0.5282 | MSE 0.001985 | PSNR 27.34 | AUX 1108.89
2026-02-13 01:58:31,558 [INFO ] [Train][E2][it 3100/3188][step 9477] RD 1.1712 | BPP 0.5278 | MSE 0.001979 | PSNR 27.35 | AUX 1112.44
2026-02-13 01:58:45,419 [INFO ] [Train][E2] RD 1.1692 | BPP 0.5276 | MSE 0.001973 | PSNR 27.36 dB | AUX 1115.57
2026-02-13 01:59:35,276 [INFO ] [Kodak][E2] RD 0.8088 | BPP 0.3388 | MSE 0.001446 | PSNR 28.81 dB
2026-02-13 01:59:35,276 [INFO ] [Spatial][E2] saved block maps for 8 images to ./checkpoints/tic_stage_vis/TIC/5e-3/kodak_block_spatial/epoch_0003
2026-02-13 01:59:35,276 [INFO ] [Spatial][E2][g_a1] U=0.021128 E=0.069886 Ehigh=0.009741 Elow=0.059075 G=0.000000
2026-02-13 01:59:35,277 [INFO ] [Spatial][E2][g_a3] U=0.034540 E=0.132088 Ehigh=0.041808 Elow=0.086069 G=0.000000
2026-02-13 01:59:35,277 [INFO ] [Spatial][E2][g_a5] U=0.084808 E=0.344455 Ehigh=0.153269 Elow=0.178482 G=0.000000
2026-02-13 01:59:35,277 [INFO ] [Spatial][E2][g_a7] U=0.146242 E=0.583262 Ehigh=0.305565 Elow=0.257114 G=0.000000
